,Age_Group,Country ,City,Primary_Transportation_Mode,EV_Environmental_Benefits,EV_ Adoption_Impact,Encourage_EV_Adoption,EV_Adoption_Sentiment,EV_Switch_Factor,EV_Policy_Satisfaction,Fuel_Restrictions_Support,EV_Incentive,EV_Concern
1,25-34,Canada ,Windsor,Public Transport,Slightly familiar,Maybe,Strongly Disagree,Very Negative,Lower costs;More charging stations;Government incentives;Environmental benefits;,Very Dissatisfied,Yes,"More financial incentives (subsidies, tax breaks);Improved charging infrastructure;",Electricity
2,35-44,Canada ,Windsor ,Gasoline/Diesel Vehicle,Very familiar,Yes,Strongly Agree,Positive,Lower costs;Environmental benefits;Government incentives;,Dissatisfied,Yes,"More financial incentives (subsidies, tax breaks);Improved charging infrastructure;Stricter emissions regulations for gas vehicles;Increased public awareness campaigns;",Affordablability 
3,18-24,Canada,Windsor,Public Transport,Slightly familiar,Yes,Neutral,Neutral,Government incentives;,Neutral,Yes,Increased public awareness campaigns;,No pollution and sound pollution
4,25-34,Canada ,Windsor,Public Transport,Moderately familiar,Maybe,,Neutral,Environmental benefits;,Neutral,Not sure,Improved charging infrastructure;,Cost
5,45-49,Canada,Windsor ,Gasoline/Diesel Vehicle,Not at all familiar,Maybe,Neutral,Neutral,Lower costs;,Neutral,No,Improved charging infrastructure;,
6,35-44,Canada,Brampton ,Gasoline/Diesel Vehicle,Very familiar,Yes,Agree,Positive,Lower costs;More charging stations;Environmental benefits;,Very Dissatisfied,No,"More financial incentives (subsidies, tax breaks);Improved charging infrastructure;",Financial 
7,18-24,Canada,Windsor,Public Transport,Slightly familiar,Maybe,Neutral,Neutral,Environmental benefits;Lower costs;More charging stations;Government incentives;,Neutral,Not sure,"Stricter emissions regulations for gas vehicles;Improved charging infrastructure;More financial incentives (subsidies, tax breaks);Increased public awareness campaigns;","Stability , battery issue with vehicle"
8,18-24,Canada,Windsor,Public Transport,Slightly familiar,Maybe,Neutral,Neutral,"None, I do not plan to switch;",Neutral,Not sure,Stricter emissions regulations for gas vehicles;,More Costly
9,35-44,Canada ,Windsor ,Gasoline/Diesel Vehicle,Not at all familiar,Yes,Disagree,Neutral,Environmental benefits;,Satisfied,No,"More financial incentives (subsidies, tax breaks);",It availability 
10,25-34,Canada ,Windsor,Public Transport,Moderately familiar,Maybe,Disagree,Positive,Lower costs;More charging stations;Government incentives;,Neutral,Not sure,"More financial incentives (subsidies, tax breaks);Increased public awareness campaigns;","In general cases, currently doesn't exist a reliable battery for this kind of cars that will represent future contamination "
11,25-34,Canada,Windsor,Gasoline/Diesel Vehicle,Extremely familiar,Yes,Strongly Agree,Very Positive,More charging stations;Environmental benefits;,Neutral,Yes,Improved charging infrastructure;,"charging station, public campaign"
12,25-34,Canada,Windsor,Public Transport,Very familiar,No,Disagree,Positive,Lower costs;,Neutral,Yes,"More financial incentives (subsidies, tax breaks);Improved charging infrastructure;","the engine may not working as good as gas car when in some bad weathers, like heavy snowing"
13,25-34,Canada,Windsor,Public Transport,Very familiar,Yes,Agree,Neutral,Lower costs;,Satisfied,Yes,"More financial incentives (subsidies, tax breaks);","A major concern for EV adoption is the lack of a widespread and reliable charging infrastructure, which affects convenience and range confidence. Additionally, battery productions environmental impact, disposal challenges, and EV affordability remain key issues."
